timestamp,first_cell_year,was_smartphone,birth_year,generation
"2022/02/09 5:53:19 PM EST","2011","Yes","1996","Millennial"
"2022/02/09 5:56:48 PM EST","2012","Yes","2002","Gen Z"
"2022/02/09 5:56:54 PM EST","2013","No","1998","Gen Z"
"2022/02/09 5:58:51 PM EST","2009","No","1995","Millennial"
"2022/02/09 5:59:26 PM EST","2013","No","2002","Gen Z"
"2022/02/09 6:04:20 PM EST","2015","Yes","1998","Gen Z"
"2022/02/09 6:06:05 PM EST","2008","No","1997","Gen Z"
"2022/02/09 6:08:12 PM EST","2014","Yes","2002","Gen Z"
"2022/02/09 6:08:13 PM EST","2015","Yes","2000","Gen Z"
"2022/02/09 6:29:05 PM EST","2009","No","1994","Millennial"
"2022/02/09 6:32:18 PM EST","2008","No","1998","Gen Z"
"2022/02/09 6:34:03 PM EST","2008","No","1997","Millennial"
"2022/02/09 6:39:28 PM EST","2011","No","2000","Gen Z"
"2022/02/09 6:40:30 PM EST","2017","Yes","2001","Gen Z"
"2022/02/09 6:45:04 PM EST","2014","Yes","2005","Gen Z"
"2022/02/09 6:46:46 PM EST","2005","No","1991","Millennial"
"2022/02/09 6:49:44 PM EST","2015","Yes","2004","Gen Z"
"2022/02/09 6:50:34 PM EST","2010","Yes","1996","Gen Z"
"2022/02/09 6:50:51 PM EST","2012","Yes","1996","Gen Z"
"2022/02/09 6:50:53 PM EST","2012","Yes","1996","Gen Z"
"2022/02/09 6:51:11 PM EST","2009","Yes","1995","Gen Z"
"2022/02/09 6:51:30 PM EST","2009","Yes","1995","Gen Z"
"2022/02/09 6:51:44 PM EST","2010","Yes","1996","Gen Z"
"2022/02/09 6:51:56 PM EST","2014","Yes","1996","Gen Z"
"2022/02/09 6:51:58 PM EST","2011","Yes","1996","Millennial"
"2022/02/09 6:52:01 PM EST","2008","No","1996","Gen Z"
"2022/02/09 6:53:15 PM EST","2002","No","1983","Millennial"
"2022/02/09 6:54:22 PM EST","2005","No","1990","Millennial"
"2022/02/09 7:00:27 PM EST","2022","Yes","2008","Gen Z"
"2022/02/09 7:02:47 PM EST","2007","No","1994","Millennial"
"2022/02/09 7:03:47 PM EST","2013","Yes","2002","Millennial"
"2022/02/09 7:10:10 PM EST","2015","Yes","2001","Gen Z"
"2022/02/09 7:11:28 PM EST","2008","No","2003","I say other, because I claim 84/85-99 millennial 00-04 Zillennial and 2005-20** Zoomer"
"2022/02/09 7:25:53 PM EST","2006","No","1999","Gen Z"
"2022/02/09 7:27:22 PM EST","2001","No","1986","Millennial"
"2022/02/09 7:40:16 PM EST","2007","No","1994","Millennial"
"2022/02/09 7:41:05 PM EST","2005","No","1986","Millennial"
"2022/02/09 7:42:20 PM EST","1999","No","1969","Gen X"
"2022/02/09 7:42:57 PM EST","2011","Yes","2000","Gen Z"
"2022/02/09 7:46:49 PM EST","2015","No","2002","Gen Z"
"2022/02/09 8:00:09 PM EST","2008","No","1997","Millennial"
"2022/02/09 8:02:29 PM EST","2003","No","1988","Millennial"
"2022/02/09 8:07:04 PM EST","2015","Yes","2000","Gen Z"
"2022/02/09 8:07:40 PM EST","2008","No","1993","Millennial"
"2022/02/09 8:09:11 PM EST","2017","No","2006","Gen Z"
"2022/02/09 8:10:35 PM EST","2009","No","1998","Gen Z"
"2022/02/09 8:10:52 PM EST","2015","Yes","1999","Gen Z"
"2022/02/09 8:13:34 PM EST","2011","No","2000","Gen Z"
"2022/02/09 8:14:23 PM EST","2019","Yes","2002","Gen Z"
"2022/02/09 8:15:46 PM EST","2007","Yes","2002","no idea"
"2022/02/09 8:16:01 PM EST","2013","No","2002","Gen Z"
"2022/02/09 8:16:23 PM EST","2003","No","1988","Millennial"
"2022/02/09 8:16:23 PM EST","2008","No","2000","Zillennial"
"2022/02/09 8:20:33 PM EST","2012","No","2003","Gen Z"
"2022/02/09 8:23:20 PM EST","2013","No","1999","Gen Z"
"2022/02/09 8:24:46 PM EST","2010","No","1997","Millennial"
"2022/02/09 8:29:59 PM EST","2013","Yes","2000","Gen Z"
"2022/02/09 8:31:02 PM EST","2009","No","2000","Gen Z"
"2022/02/09 8:36:09 PM EST","2013","Yes","2003","Gen Z"
"2022/02/09 8:38:08 PM EST","2017","Yes","2005","Gen Z"
"2022/02/09 8:40:36 PM EST","2019","Yes","2007","Gen Z"
"2022/02/09 8:40:45 PM EST","2009","No","1998","Gen Z"
"2022/02/09 8:41:11 PM EST","2008","No","1995","Millennial"
"2022/02/09 8:41:38 PM EST","2010","No","2000","Zillennial"
"2022/02/09 8:42:34 PM EST","2005","No","1991","Millennial"
"2022/02/09 8:45:35 PM EST","2008","No","1995","Millennial"
"2022/02/09 8:45:50 PM EST","2019","Yes","2008","Gen Z"
"2022/02/09 8:48:26 PM EST","2001","No","1979","Gen x"
"2022/02/09 8:50:05 PM EST","2013","No","1999","Zillennial"
"2022/02/09 8:53:55 PM EST","2005","No","1994","Millennial"
"2022/02/09 8:55:10 PM EST","2000","No","1981","Unknown "
"2022/02/09 8:57:50 PM EST","2008","No","1995","Millennial"
"2022/02/09 9:03:04 PM EST","2008","No","1996","Gen Z"
"2022/02/09 9:05:40 PM EST","2005","No","1988","Millennial"
"2022/02/09 9:09:30 PM EST","2006","No","1988","Millennial"
"2022/02/09 9:09:48 PM EST","2006","No","1993","Millennial"
"2022/02/09 9:13:00 PM EST","2006","No","1989","Millennial"
"2022/02/09 9:13:04 PM EST","2000","No","1990","Millennial"
"2022/02/09 9:18:43 PM EST","2010","No","1999","Gen Z"
"2022/02/09 9:19:16 PM EST","2003","No","1988","Millennial"
"2022/02/09 9:23:42 PM EST","2000","No","1984","Millennial"
"2022/02/09 9:25:10 PM EST","2009","No","1999","Gen Z"
"2022/02/09 9:25:31 PM EST","2006","No","1988","Millennial"
"2022/02/09 9:25:41 PM EST","2003","No","1990","Millennial"
"2022/02/09 9:26:02 PM EST","2011","No","2001","Gen Z"
"2022/02/09 9:26:44 PM EST","2008","No","2001","Gen Z"
"2022/02/09 9:32:25 PM EST","2018","Yes","2008","Gen Z"
"2022/02/09 9:32:26 PM EST","1998","No","1980","Gen X"
"2022/02/09 9:41:56 PM EST","2008","No","1997","Gen Z"
"2022/02/09 9:48:28 PM EST","2012","No","1999","Gen Z"
"2022/02/09 9:49:56 PM EST","2014","No","2002","Gen Z"
"2022/02/09 9:57:33 PM EST","2007","No","1993","Millennial"
"2022/02/09 10:04:18 PM EST","2009","No","1998","Gen Z"
"2022/02/09 10:04:47 PM EST","2005","No","1992","Millennial"
"2022/02/09 10:09:07 PM EST","2011","No","1997","Millennial"
